date,demand_mu,was_interpolated,temp_max_c,temp_min_c,temp_mean_c,humidity_mean_pct,precipitation_mm,temp_mean_c_sq,hdd,cdd,day_of_year,day_of_year_sin,day_of_year_cos,demand_lag_1,demand_lag_7,is_weekend,is_lockdown
2019-01-09,89.2,False,19.4,7.9,12.5,71,0.0,156.25,5.5,0.0,9,0.1542040475626894,0.988039023376751,69.0,85.8,0,0
2019-01-10,92.8,False,19.3,5.9,12.5,67,0.0,156.25,5.5,0.0,10,0.17117705961019986,0.985240282501282,89.2,85.5,0,0
2019-01-11,79.5,False,19.4,5.6,12.7,71,0.0,161.29,5.300000000000001,0.0,11,0.18809941761179758,0.9821499931752291,92.8,83.5,0,0
2019-01-12,92.6,False,19.8,7.2,13.3,75,0.0,176.89000000000001,4.699999999999999,0.0,12,0.20496611396949532,0.9787690698649216,79.5,79.2,1,0
2019-01-13,89.4,False,21.0,8.3,14.3,74,0.0,204.49,3.6999999999999993,0.0,13,0.22177215755648186,0.975098513039961,92.6,76.6,1,0
2019-01-14,82.2,False,18.3,8.2,12.6,60,0.0,158.76,5.4,0.0,14,0.23851257519407648,0.9711394088771653,89.4,71.1,0,0
2019-01-15,77.8,False,18.8,6.4,11.3,59,0.0,127.69000000000001,6.699999999999999,0.0,15,0.2551824131233728,0.9668929289391521,82.2,69.0,0,0
2019-01-16,111.8,False,18.9,5.7,11.9,70,0.0,141.61,6.1,0.0,16,0.2717767384711357,0.9623603298276545,77.8,89.2,0,0
2019-01-17,115.6,False,20.0,5.2,12.0,76,0.0,144.0,6.0,0.0,17,0.2882906407095177,0.9575429528116719,111.8,92.8,0,0
2019-01-18,117.9,False,20.4,5.9,12.0,75,0.0,144.0,6.0,0.0,18,0.3047192331091634,0.9524422234305676,115.6,79.5,0,0
2019-01-19,121.9,False,22.8,6.9,13.8,70,0.0,190.44000000000003,4.199999999999999,0.0,19,0.321057654185271,0.9470596510722283,117.9,92.6,1,0
2019-01-20,121.7,False,25.0,8.6,16.6,74,0.0,275.56000000000006,1.3999999999999986,0.0,20,0.3373010691361842,0.9413968285264122,121.9,89.4,1,0
2019-01-21,112.2,False,21.4,12.6,16.0,82,5.5,256.0,2.0,0.0,21,0.3534446712740877,0.9354554315134164,121.7,82.2,0,0
2019-01-22,108.0,False,19.5,11.6,14.8,86,17.6,219.04000000000002,3.1999999999999993,0.0,22,0.3694836834473831,0.9292372181882051,112.2,77.8,0,0
