date,temp_max_c,temp_min_c,temp_mean_c,humidity_mean_pct,precipitation_mm
2019-01-02,21.2,6.8,13.7,72,0.0
2019-01-03,20.7,7.5,13.2,73,0.0
2019-01-04,18.8,7.2,12.7,72,0.0
2019-01-05,20.6,7.3,13.1,71,0.0
2019-01-06,18.2,8.9,13.0,78,2.2
2019-01-07,19.2,7.7,12.4,78,0.0
2019-01-08,18.3,7.7,12.2,77,0.0
2019-01-09,19.4,7.9,12.5,71,0.0
2019-01-10,19.3,5.9,12.5,67,0.0
2019-01-11,19.4,5.6,12.7,71,0.0
2019-01-12,19.8,7.2,13.3,75,0.0
2019-01-13,21.0,8.3,14.3,74,0.0
2019-01-14,18.3,8.2,12.6,60,0.0
2019-01-15,18.8,6.4,11.3,59,0.0
2019-01-16,18.9,5.7,11.9,70,0.0
2019-01-17,20.0,5.2,12.0,76,0.0
2019-01-18,20.4,5.9,12.0,75,0.0
2019-01-19,22.8,6.9,13.8,70,0.0
2019-01-20,25.0,8.6,16.6,74,0.0
2019-01-21,21.4,12.6,16.0,82,5.5
2019-01-22,19.5,11.6,14.8,86,17.6
2019-01-23,18.7,8.8,13.2,84,0.4
2019-01-24,20.0,9.3,13.7,80,0.1
2019-01-25,17.4,8.7,12.1,79,0.9
2019-01-26,17.4,7.1,11.4,70,0.0
2019-01-27,16.3,5.4,10.1,69,0.0
2019-01-28,17.2,6.1,10.6,63,0.0
2019-01-29,18.3,6.0,11.1,63,0.0
2019-01-30,18.3,6.1,11.3,70,0.0
2019-01-31,18.8,6.9,12.8,72,0.8
2019-02-01,19.6,10.8,14.2,75,0.7
2019-02-02,19.7,8.0,13.0,82,0.0
2019-02-03,20.1,7.8,12.7,82,0.0
2019-02-04,21.0,7.4,14.0,76,0.0
2019-02-05,22.1,8.8,15.5,78,0.0
2019-02-06,22.9,13.1,17.0,85,9.2
2019-02-07,20.0,12.2,15.7,90,11.9
2019-02-08,18.8,8.3,12.8,74,0.0
2019-02-09,18.9,8.2,12.5,72,0.0
2019-02-10,18.4,6.8,12.2,76,0.5
2019-02-11,19.3,7.3,13.0,76,0.0
